ano,quantidade_vinculos_ativos,cep,bairros_fortaleza
2019,1,60741600,0064
2019,5,60336210,0006
2019,1,60540440,0014
2019,2,60181040,0052
2019,18,60820000,0062
2019,2,60741040,0064
2019,1,60540540,0014
2019,1,60540600,0014
2019,8,60160240,0066
2019,1,60510680,0035
2019,20,60110300,0060
2019,3,60011110,0031
2019,1,60710690,0045
2019,7,60175090,0052
2019,27,60512040,0059
2019,4,60416530,0070
2019,7,60832650,0043
2019,4,60525450,0035
2019,6,60165120,0060
2019,1,60534090,0034
2019,9,60420070,0070
2019,1,60182490,0009
2019,3,60326220,0049
2019,913,60410691,0070
2019,12,60851120,0005
2019,14,60336030,0006
2019,1,60732430,0014
2019,2,60541680,0015
2019,3,60730120,0069
2019,4,60184110,0067
2019,70,60711230,0045
2019,2,60732490,0014
2019,4,60541420,0015
2019,6,60831410,0043
2019,5,60410691,0070
2019,1,60860410,0028
2019,2,60526720,0033
2019,2,60320080,0068
2019,5,60426000,0026
2019,31,60325680,0049
2019,2,60110300,0060
2019,14,60526720,0033
2019,2,60335480,0025
2019,8,60741000,0064
2019,5,60355770,0006
2019,20,60325000,0031
2019,9,60410760,0070
2019,21,60336010,0006
2019,2,60520220,0041
2019,2,60545360,0015
2019,1,60410330,0013
2019,1,60416510,0013
2019,6,60320380,0068
2019,2,60410070,0013
2019,2,60851120,0005
2019,4,60520590,0035
2019,3,60527310,0033
2019,1,60060370,0060
2019,2,60730220,0056
2019,1,60831410,0043
2019,4,60110300,0060
2019,1,60822180,0018
2019,1,60860220,0028
2019,2,60450220,0057
2019,5,60160130,0066
2019,4,60822180,0018
2019,4,60713300,0044
2019,8,60175170,0066
2019,9,60545010,0014
2019,1,60851120,0005
2019,9,60180410,0067
2019,1,60160130,0066
2019,33,60741450,0064
2019,30,60864460,0017
2019,11,60525570,0035
2019,8,60864311,0017
2019,1,60850700,0005
2019,1,60710550,0045
2019,4,60181000,0067
2019,8,60851030,0005
2019,54,60440120,0027
2019,11,60160330,0066
2019,3,60510461,0059
2019,4,60325000,0031
2019,22,60764190,0044
2019,3,60831407,0043
2019,5,60860140,0028
2019,1,60165260,0066
2019,55,60175100,0066
2019,11,60180040,0067
2019,28,60520100,0041
2019,4,60425000,0039
2019,4,60860510,0028
2019,4,60060220,0060
2019,1,60520430,0035
2019,1,60831410,0043
2019,14,60165120,0060
2019,8,60764130,0044
2019,80,60742110,0064
2019,3,60325000,0031
2019,7,60011100,0031
